,Company Name,Author Name,Text,Message ID,Published At,Retweet Count,Favorite Count,Processed Text,Predicted
8,DROP,Inputspike,"ETH/EDO (Binance) gained 7.56% in the last 20 min. 0.43747276USD, 0.00004294Ƀ $EDO #Eidoo #cryptocurrency https://t.co/tHSSeSa9e3",1166777493048692736,2019-08-28 18:20:06,0,1,"ETH/EDO (Binance) gained 7.56% in the last 20 min. 0.43747276USD, 0.00004294Ƀ $EDO    ",ham
11,DROP,ProjectX - XtradeBOT,"📢NEW TRADE
🌎Exchange: #Binance
📌#EDOBTC
⏳Buy Date : 2019-08-27 00:20:46
⌛Sell Date : 2019-08-28 01:29:30
📈Buy : 0.0… https://t.co/eCJlSL5bNk",1166492997900525568,2019-08-27 23:29:37,0,0,📢NEW TRADE 🌎Exchange:     ⏳Buy Date : 2019-08-27 00:20:46 ⌛Sell Date : 2019-08-28 01:29:30 📈Buy : 0.0…,ham
0,DROP,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$DIVI (17.52%) up
$XMX (14.29%) up
$KNC (13.15%) up
$CRPT (11.71%) up
$FCT (… https://t.co/J1Rq4znVkr",1169754609998540800,2019-09-05 23:30:06,0,4,Today's top cryptocurrency gainers:  $DIVI (17.52%) up $XMX (14.29%) up $KNC (13.15%) up $CRPT (11.71%) up $FCT (…,ham
1,DROP,Joe Gambiste,"RT @coinmarketnews: Today's top cryptocurrency gainers: 
 
$CENNZ (20.60%) up
$DIVI (14.17%) up
$CRPT (11.71%) up
$NRG (9.69%) up
$STEEM (7…",1169575356342394880,2019-09-05 11:37:49,1,0,   Today's top cryptocurrency gainers:  $CENNZ (20.60%) up $DIVI (14.17%) up $CRPT (11.71%) up $NRG (9.69%) up $STEEM (7…,ham
2,DROP,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$CENNZ (20.60%) up
$DIVI (14.17%) up
$CRPT (11.71%) up
$NRG (9.69%) up… https://t.co/NyOiUwGXOy",1169573420570423296,2019-09-05 11:30:07,1,2,Today's top cryptocurrency gainers:  $CENNZ (20.60%) up $DIVI (14.17%) up $CRPT (11.71%) up $NRG (9.69%) up…,ham
3,DROP,ICOLOG,"A Short Yet Comprehensive Guide On Libra — Facebook’s Cryptocurrency...
PRC: $0.343000 (-0.90%) • ROI: -437.32% • H… https://t.co/QHbK4Ak6Vx",1169567251202215938,2019-09-05 11:05:36,0,0,A Short Yet Comprehensive Guide On Libra — Facebook’s Cryptocurrency... PRC: $0.343000 (-0.90%) • ROI: -437.32% • H…,ham
4,DROP,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$CRPT (11.71%) up
$LINA (10.23%) up
$MANA (10.14%) up
$ENJ (7.65%) up
$TTC (… https://t.co/0UL4sp9QA5",1169392222669803521,2019-09-04 23:30:06,0,0,Today's top cryptocurrency gainers:  $CRPT (11.71%) up $LINA (10.23%) up $MANA (10.14%) up $ENJ (7.65%) up $TTC (…,ham
6,DROP,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$RET (18.28%) up
$VALOR (12.36%) up
$XMX (11.98%) up
$CRPT (11.71%) up
$LINA… https://t.co/SjoSuvPdcS",1169211028393082880,2019-09-04 11:30:06,0,9,Today's top cryptocurrency gainers:  $RET (18.28%) up $VALOR (12.36%) up $XMX (11.98%) up $CRPT (11.71%) up $LINA…,ham
7,DROP,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$XMX (15.95%) up
$CRPT (14.75%) up
$VSYS (12.48%) up
$CRPT (11.71%) up
$MAID… https://t.co/AbaQhFn0hd",1169029838365237249,2019-09-03 23:30:07,0,0,Today's top cryptocurrency gainers:  $XMX (15.95%) up $CRPT (14.75%) up $VSYS (12.48%) up $CRPT (11.71%) up $MAID…,ham
8,DROP,ICOLOG,"The delivery service of the world-famous fast-food restaurants, Burger King is now accepting payments in the crypto… https://t.co/cL9CZDBXWw",1168993465994240002,2019-09-03 21:05:35,0,0,"The delivery service of the world-famous fast-food restaurants, Burger King is now accepting payments in the crypto…",ham
10,DROP,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$RDD (20.50%) up
$XMX (15.60%) up
$VSYS (13.85%) up
$KMD (13.19%) up
$CRPT (… https://t.co/LvVBJoVtKd",1168848651688534016,2019-09-03 11:30:09,0,7,Today's top cryptocurrency gainers:  $RDD (20.50%) up $XMX (15.60%) up $VSYS (13.85%) up $KMD (13.19%) up $CRPT (…,ham
11,DROP,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$DRG (20.34%) up
$XMX (18.63%) up
$FTM (14.87%) up
$GRIN (14.21%) up
$BEAM (… https://t.co/pLbgkrD82T",1168667447504908292,2019-09-02 23:30:06,0,1,Today's top cryptocurrency gainers:  $DRG (20.34%) up $XMX (18.63%) up $FTM (14.87%) up $GRIN (14.21%) up $BEAM (…,ham
13,DROP,Joe Gambiste,"RT @coinmarketnews: Today's top cryptocurrency gainers: 
 
$UIP (105.77%) up
$WIX (47.10%) up
$WAN (23.18%) up
$INO (20.45%) up
$SNX (12.08…",1168307961980231680,2019-09-01 23:41:38,1,0,   Today's top cryptocurrency gainers:  $UIP (105.77%) up $WIX (47.10%) up $WAN (23.18%) up $INO (20.45%) up $SNX (12.08…,ham
14,DROP,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$UIP (105.77%) up
$WIX (47.10%) up
$WAN (23.18%) up
$INO (20.45%) up
$SNX (1… https://t.co/Ahq2vLvOhG",1168305057684754432,2019-09-01 23:30:06,1,1,Today's top cryptocurrency gainers:  $UIP (105.77%) up $WIX (47.10%) up $WAN (23.18%) up $INO (20.45%) up $SNX (1…,ham
8,DROP,Coinhooked,"RT @coins_flare: View listing details now on: https://t.co/d3VPVO25Gv 
NEXO listed on Coinexchange @NexoFinance  #crypto #cryptocurrency $N…",1169200821877321729,2019-09-04 10:49:33,2,0,   View listing details now on: NEXO listed on Coinexchange       currency $N…,ham
10,DROP,CoinsFlare,"View listing details now on: https://t.co/d3VPVO25Gv 
NEXO listed on Coinexchange @NexoFinance  #crypto #cryptocurrency $NEXO",1169106187868102657,2019-09-04 04:33:30,2,22,View listing details now on: NEXO listed on Coinexchange       currency $NEXO,ham
12,DROP,mark davison,Will bcnex list nexo? #Bcnex $BCNX #Cryptocurrency #Exchange #ICO #ETH #VotingCoin https://t.co/v2SP0I0j5f @Nghiemtructung,1168954502130688007,2019-09-03 18:30:46,0,1,Will bcnex list nexo?   $BCNX              ,ham
13,DROP,Topicktea,"RT @topicktea: Dwonload,join and singup ...
#staywithtopick @Curis_Wang
#cryptocurrency #moneycrypto #BTC #USDT #XRP #LTC #BTR #ETH #ETC #c…",1168864898614362112,2019-09-03 12:34:42,1,0,"   Dwonload,join and singup ...                        ",ham
0,DROP,Coinhooked,"#Crypto #Cryptocurrency #Bitcoin
https://t.co/NuSYSVE6fJ",1169882626414395393,2019-09-06 07:58:48,0,0,   currency  ,ham
1,DROP,Coinnounce - Blockchain Entrepreneur Stories,"Massive drop in trading volume on major crypto exchanges
https://t.co/Jv4MRX2ig3

#CryptoTrading #Cryptocurrency… https://t.co/8gjdPcymIs",1169879478887018497,2019-09-06 07:46:17,0,0,Massive drop in trading volume on major crypto exchanges      ,ham
2,DROP,Cryptodot,Bitcoin Price Corrects While Gold Sees Worst Daily Drop in 2.5 Years https://t.co/qu1EMbLuSK #crypto #blockchain #cryptocurrency,1169868457854111746,2019-09-06 07:02:30,0,0,Bitcoin Price Corrects While Gold Sees Worst Daily Drop in 2.5 Years        currency,ham
3,DROP,🔗bitsmart.io,Bitcoin Price Corrects While Gold Sees Worst Daily Drop in 2.5 Years #bitcoin #cryptocurrency #daytrading #paxi… https://t.co/7SX3zSlUk4,1169845223481982976,2019-09-06 05:30:10,0,0,Bitcoin Price Corrects While Gold Sees Worst Daily Drop in 2.5 Years        ,ham
0,CHSB,スイスバーグ,"RT @klortu868o: https://t.co/UVhiLrNgMb
色んな意味で話題ｗのスイスボーグの社長が日本向けの説明会やっていますねーｗｗ
色々文句を言いたい人が多いと思うので、よかったらどうぞ！！
$CHSB #仮想通貨 #ICO",1169771357841739776,2019-09-06 00:36:39,1,0,   色んな意味で話題ｗのスイスボーグの社長が日本向けの説明会やっていますねーｗｗ 色々文句を言いたい人が多いと思うので、よかったらどうぞ！！ $CHSB    ,ham
2,CHSB,Crypto squawk,Since 6 pm Chiliz $CHZ has increased by 14.85% (chart L) and SwissBorg $CHSB by 16.49% (chart R). Crypto markets en… https://t.co/4Unu5giEv6,1169737922603573248,2019-09-05 22:23:48,0,1,Since 6 pm Chiliz $CHZ has increased by 14.85% (chart L) and SwissBorg $CHSB by 16.49% (chart R). Crypto markets en…,ham
3,CHSB,Bablu,"RT @AirdropDet: 🔍 New #Airdrop: Swissborg

💲 Total reward: Up to 1750 CHSB[~$15]+ 3k points per referral+$500k worth of BTC (for 20,000 use…",1169723051895771136,2019-09-05 21:24:42,55,0,"   🔍 New   Swissborg  💲 Total reward: Up to 1750 CHSB[~$15]+ 3k points per referral+$500k worth of BTC (for 20,000 use…",ham
6,CHSB,AlertDrop,"SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use… https://t.co/DfidjbrNCj",1169658169968271360,2019-09-05 17:06:53,0,0,SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟 💰up to $1654 in $BTC + $75 in    🔹️$51M sold in   🔹️📌Click link 📌Download app  ❗📌Use…,ham
8,CHSB,VentureDrop,"RT @VentureDrop: SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use this c…",1169639475879849984,2019-09-05 15:52:36,1,0,   SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟 💰up to $1654 in $BTC + $75 in    🔹️$51M sold in   🔹️📌Click link 📌Download app  ❗📌Use this c…,ham
9,CHSB,AlertDrop,"RT @alertdropp: SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use this co…",1169639374000144385,2019-09-05 15:52:12,1,0,   SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟 💰up to $1654 in $BTC + $75 in    🔹️$51M sold in   🔹️📌Click link 📌Download app  ❗📌Use this co…,ham
1,MCO,株式会社ミヨシ a.k.a. MCO【公式】,"@hapinavi オールカラーでめちゃくちゃ読み応えありました‼️惜しむらくはすぐにお店にいけないことｗ←
これは名古屋の魅力が詰まりすぎですね…！",1169897776219484161,2019-09-06 08:59:00,0,0,  オールカラーでめちゃくちゃ読み応えありました‼️惜しむらくはすぐにお店にいけないことｗ← これは名古屋の魅力が詰まりすぎですね…！,ham
2,MCO,🐾ささみあげ❦ Happy end,@shirokuma_MCO …？,1169897596598382595,2019-09-06 08:58:17,0,0,  …？,ham
3,MCO,株式会社ミヨシ a.k.a. MCO【公式】,@cmbar_inc @hapinavi いつか…いつか必ずや…！（涙でモニターがにじむ…😭😭😭）,1169897517032456193,2019-09-06 08:57:58,0,0,    いつか…いつか必ずや…！（涙でモニターがにじむ…😭😭😭）,ham
4,MCO,🍼みごみご🐣浪速のしかめっ面🐾,@shirokuma_MCO すいみんなかま,1169897456433164292,2019-09-06 08:57:43,0,0,  すいみんなかま,ham
6,MCO,抹茶俺,何言ってんだこいつ…,1169897293694164994,2019-09-06 08:57:05,0,0,何言ってんだこいつ…,ham
7,MCO,殺戮型紅茶花伝❦ 🐾⚠️暴走中⚠️,@migomigonyanko むりねる,1169897207815753730,2019-09-06 08:56:44,0,1,  むりねる,ham
8,MCO,おいちい…///,@shirokuma_MCO よんだ？,1169897184503844864,2019-09-06 08:56:39,0,1,  よんだ？,ham
9,MCO,抹茶俺,でも全部の列にグリム兄弟がいるって考えたら悪くない…ってなった,1169897168078925824,2019-09-06 08:56:35,0,0,でも全部の列にグリム兄弟がいるって考えたら悪くない…ってなった,ham
10,MCO,殺戮型紅茶花伝❦ 🐾⚠️暴走中⚠️,@Sasamiagechan49 こぎくりゅ〜,1169897162676658176,2019-09-06 08:56:33,0,1,  こぎくりゅ〜,ham
11,MCO,🐣ぴよまる。,@Miracl_MiLapule ほらね,1169897145501016064,2019-09-06 08:56:29,0,2,  ほらね,ham
12,MCO,🍼みごみご🐣浪速のしかめっ面🐾,@shirokuma_MCO 寝ようず！,1169897108821794816,2019-09-06 08:56:21,0,1,  寝ようず！,ham
13,MCO,🐣ぴよまる。,"RT @mochi19770128: 今クラン作るためにサブ垢育成してるんで
会ったら本物だと思ってください！ https://t.co/xDQv69WfNw",1169897047593377794,2019-09-06 08:56:06,4,0,   今クラン作るためにサブ垢育成してるんで 会ったら本物だと思ってください！,ham
2,EDO,M Wildan Fathoni,@Edo_an9 @kampoeng_milan @MafiaWasit https://t.co/xP3oJIDuSJ,1169897798986153985,2019-09-06 08:59:05,0,0,     ,ham
5,EDO,宮崎の蜂サポ🐝@底辺絵師@えどれなー🌊🎯💜,"@edo_lena やっぱり江戸レナといえば

むらさき

ですよね(///∇///)💜🐝",1169897734926503936,2019-09-06 08:58:50,0,0,  やっぱり江戸レナといえば  むらさき  ですよね(///∇///)💜🐝,ham
6,EDO,Local Man,"RT @StatiSense: States' Unemployed Count (Q3 2018)

Rivers: 1.7m
A/Ibom: 1.4m
Kano: 1.3m
Lagos: 1.1m
Kaduna: 940.5K
Imo: 880.4K
Delta: 791.…",1169897636079403008,2019-09-06 08:58:26,18,0,   States' Unemployed Count (Q3 2018)  Rivers: 1.7m A/Ibom: 1.4m Kano: 1.3m Lagos: 1.1m Kaduna: 940.5K Imo: 880.4K Delta: 791.…,ham
7,EDO,氷結こんぶ,"@t_ogiri2 「南蛮か！」のネタが放送コードにかかった
【大喜利】江戸時代からタイムスリップしたお侍漫才師がコンテストで落選した理由 #og_edo",1169897578239905792,2019-09-06 08:58:12,0,0,  「南蛮か！」のネタが放送コードにかかった 【大喜利】江戸時代からタイムスリップしたお侍漫才師がコンテストで落選した理由  ,ham
8,EDO,KoroGMoraza,"RT @BakartxoR: Hondarribian, @Jaizkibel6-aren desfile entsaioan, konpainiak #skolae-ri saria emateko ekitaldia hastear.

Gezurra badirudi e…",1169897453534896132,2019-09-06 08:57:43,19,0,"   Hondarribian,   desfile entsaioan, konpainiak   saria emateko ekitaldia hastear.  Gezurra badirudi e…",ham
9,EDO,hayo,RT @aliyaimadudeen: Indonesia 101 by Edo Syahputra on Instagram (1/2) https://t.co/6AH1HL1EF1,1169897434228477953,2019-09-06 08:57:38,4,0,   Indonesia 101 by Edo Syahputra on Instagram (1/2),ham
10,EDO,METROWATCH,Official: Teachers in Edo Are Highly Motivated with Obaseki-led https://t.co/fDAVBj4tRj,1169897412418125824,2019-09-06 08:57:33,0,0,Official: Teachers in Edo Are Highly Motivated with Obaseki-led,ham
12,EDO,JOKER 🃏,@Manyu_tarak Parledhu edo la opinchu mama,1169897381225086977,2019-09-06 08:57:25,0,0,  Parledhu edo la opinchu mama,ham
13,EDO,きあら🇵🇹💜,急遽今日ラトゥラトゥのハイタッチ会に参加できることになったのですが どなたか当日券1枚代行していただけないでしょうか😭,1169897339328184321,2019-09-06 08:57:15,0,0,急遽今日ラトゥラトゥのハイタッチ会に参加できることになったのですが どなたか当日券1枚代行していただけないでしょうか😭,ham
1,CRPT,dinedine,😞❤️,1169884366257811462,2019-09-06 08:05:42,0,1,😞❤️,ham
4,CRPT,ソラソラさん/絵描き勉強,"RT @hyutatatantan: 原曲迷子な撥条少女時計作りました〜
#コンパス
#コンパス音楽 https://t.co/7HCnUodWbx",1169875888747343875,2019-09-06 07:32:01,9,0,   原曲迷子な撥条少女時計作りました〜    音楽,ham
6,CRPT,LowCapWhaleBot,"$Crypto #lowcaps 1H returns

Top performers
$CRPT +6.7%
$GRN +5.5%
$ONE +5.4%

Worst performers
$LINA -16.2%
$FXC -… https://t.co/TaimvFMYQK",1169873726126444545,2019-09-06 07:23:26,0,0,$Crypto   1H returns  Top performers $CRPT +6.7% $GRN +5.5% $ONE +5.4%  Worst performers $LINA -16.2% $FXC -…,ham
7,CRPT,すずせん,@sorasora3_crpt 草,1169869849058611205,2019-09-06 07:08:01,0,0,  草,ham
8,CRPT,Coin Trading Analytics,"Top 100 avg 1h return: 0.1±1.0%; 55 up, 45 down
$BTC 0.0%  $ETH 0.1%
Best:
4.1% $BCN @Bytecoin_BCN
3.7% $LAMB… https://t.co/Q8EHrmGmzq",1169867886887702529,2019-09-06 07:00:13,0,0,"Top 100 avg 1h return: 0.1±1.0%; 55 up, 45 down $BTC 0.0%  $ETH 0.1% Best: 4.1% $BCN   3.7% $LAMB…",ham
9,CRPT,ソラソラさん/絵描き勉強,RT @to_a_301: ｢ノホタンって呼ぶな！｣ https://t.co/20yu045ca3,1169858542162939905,2019-09-06 06:23:06,171,0,   ｢ノホタンって呼ぶな！｣,ham
11,CRPT,Hina＠クリプト,すごいなんとなくの単発１回できてしまった........ https://t.co/zc8bSFG8bg,1169855212028190720,2019-09-06 06:09:52,0,7,すごいなんとなくの単発１回できてしまった........,ham
10,NEXO,hala,@seyeehun nexo ext door,1169891634013601792,2019-09-06 08:34:35,0,1,  nexo ext door,ham
12,NEXO,CANAMI,@ktrsngofficial 今回もななにー面白かったよ^_^。ファンミもついに名古屋飛ばし泣。岐阜に格安の一級音響技能士がいるのでお役に立てれば使って下さい^_^。どこでも付いていきますょ。NEXOもあります。とはいえファンミ嬉しい楽しみ大好き！ありがとう^_^。,1169890848458174464,2019-09-06 08:31:28,0,0,  今回もななにー面白かったよ^_^。ファンミもついに名古屋飛ばし泣。岐阜に格安の一級音響技能士がいるのでお役に立てれば使って下さい^_^。どこでも付いていきますょ。NEXOもあります。とはいえファンミ嬉しい楽しみ大好き！ありがとう^_^。,ham
13,NEXO,Rob Wijnhoven,RT @rasto1973: $NEXO by @NexoFinance has been re-listed on #IDEX https://t.co/Auh3s7EDau https://t.co/MC0tVmkdQz,1169890804342521856,2019-09-06 08:31:17,1,0,   $NEXO by   has been re-listed on  ,ham
0,SXP,ぬしえ,@yy109810 ゲレンデが溶けるほど恋したい,1169887761102360576,2019-09-06 08:19:12,0,0,  ゲレンデが溶けるほど恋したい,ham
1,SXP,Axmed Cabdi 🇸🇴,@Hubaal_ Waa aragtidiisa sxp lkn always runta waa muhiim ee yaysan nadhibin ee aan wajahno 😁😁😁,1169884160007081984,2019-09-06 08:04:53,0,0,  Waa aragtidiisa sxp lkn always runta waa muhiim ee yaysan nadhibin ee aan wajahno 😁😁😁,ham
2,SXP,R,でっかいクラブハウスサンド作るんだろうなぁロック君,1169883825104572416,2019-09-06 08:03:33,0,0,でっかいクラブハウスサンド作るんだろうなぁロック君,ham
4,SXP,R,RT @syronh2678: テリー参戦に文句言いまくってる奴はテリーに親でも殺されたのかよって書き込み見たけどテリーに親父を殺された子は多分今頃お祝いのごちそう作ってると思う,1169883714353950720,2019-09-06 08:03:07,3326,0,   テリー参戦に文句言いまくってる奴はテリーに親でも殺されたのかよって書き込み見たけどテリーに親父を殺された子は多分今頃お祝いのごちそう作ってると思う,ham
8,SXP,R,"RT @gus3_ta28: テリーのスマブラ参戦で
カットされたシーンがこちらです。 https://t.co/K690QBRwLY",1169877193029111809,2019-09-06 07:37:12,396,0,   テリーのスマブラ参戦で カットされたシーンがこちらです。,ham
9,SXP,♡ な ち 太 郎 ♡,@SxP_xx_oO @TOS もちろん！,1169876963428687872,2019-09-06 07:36:18,0,0,    もちろん！,ham
10,SXP,YAM,(完全に描く骨の量を減らしたい描き手の都合も多分に含まれます),1169866657629532160,2019-09-06 06:55:20,0,0,(完全に描く骨の量を減らしたい描き手の都合も多分に含まれます),ham
11,SXP,YAM,へっへへ…兄、必要なとこだけ脱いでます……ちなみに手はタマシイ触るために左手だけ手袋脱いで右手は付けっ放しで事が進みます……一方パピルスは靴もタイツも全部脱いでいる,1169866463382949888,2019-09-06 06:54:34,0,4,へっへへ…兄、必要なとこだけ脱いでます……ちなみに手はタマシイ触るために左手だけ手袋脱いで右手は付けっ放しで事が進みます……一方パピルスは靴もタイツも全部脱いでいる,ham
12,SXP,YAM,RT @maple_sptl: この弟くん、お兄さんを抱く時は靴下だけは残しておくのか……意外とマニアックさんだな……とニコニコになりました,1169865809574842369,2019-09-06 06:51:58,1,0,   この弟くん、お兄さんを抱く時は靴下だけは残しておくのか……意外とマニアックさんだな……とニコニコになりました,ham
13,SXP,YAM,お茶請けで！？！？(笑いました),1169863063673028608,2019-09-06 06:41:04,0,1,お茶請けで！？！？(笑いました),ham
14,SXP,R,RT @uchisama2010: 【次回予告】#323 内さま真夏の恒例行事、大自然クイズを今年も開催！パラ部全面協力のもと作成された、パラ部の嫁クイズや、「キングダム」の作者、原先生による超貴重なクイズ問題など特別問題が盛りだくさん！オジサン達の希望によって導入された謎の「…,1169853083603464194,2019-09-06 06:01:24,198,0,     内さま真夏の恒例行事、大自然クイズを今年も開催！パラ部全面協力のもと作成された、パラ部の嫁クイズや、「キングダム」の作者、原先生による超貴重なクイズ問題など特別問題が盛りだくさん！オジサン達の希望によって導入された謎の「…,ham
5,DROP,drop-in,"白崎海岸といちご狩りサイクリング下見③P9060021 / https://t.co/rI8XqZfHTB / 白崎海岸といちご狩りサイクリング下見③P9060021

白崎海岸. https://t.co/7E9DRqy2uc",1169898015584206850,2019-09-06 08:59:57,0,0,白崎海岸といちご狩りサイクリング下見③P9060021 /   / 白崎海岸といちご狩りサイクリング下見③P9060021  白崎海岸.,ham
13,DROP,drop-in,"白崎海岸といちご狩りサイクリング下見②P9060018 / https://t.co/fsFHE3P9Tc / 白崎海岸といちご狩りサイクリング下見②P9060018

白崎海岸. https://t.co/wCqYJrT6IK",1169898005211672576,2019-09-06 08:59:54,0,0,白崎海岸といちご狩りサイクリング下見②P9060018 /   / 白崎海岸といちご狩りサイクリング下見②P9060018  白崎海岸.,ham
0,MCO,殺戮型紅茶花伝❦ 🐾⚠️暴走中⚠️,@Sasamiagechan49 ミチコのチュートリアルの真似,1169899079960125449,2019-09-06 09:04:10,0,0,  ミチコのチュートリアルの真似,ham
2,MCO,自爆@ぽす推し(嘘),"ユニクロほんといいと思います。
見てるだけで結構幸せ 

#peing #質問箱 https://t.co/Se8lj3RYM3",1169898991883976704,2019-09-06 09:03:49,0,0,ユニクロほんといいと思います。 見てるだけで結構幸せ     ,ham
3,MCO,たゐらんと,【速報】Tyrant氏気合いでシャーペンを治す https://t.co/TIcn17LT9D,1169898961412317187,2019-09-06 09:03:42,0,0,【速報】Tyrant氏気合いでシャーペンを治す,ham
4,MCO,エムコファミリー,グレープス：　ふらふらと、放浪していると、いろんな発見があるぜ　そんなとこに閉じこもってないで、きみも放浪してみなよ,1169898920790487045,2019-09-06 09:03:33,0,0,グレープス：　ふらふらと、放浪していると、いろんな発見があるぜ　そんなとこに閉じこもってないで、きみも放浪してみなよ,ham
5,MCO,自爆@ぽす推し(嘘),"口が引くほど悪いです
そこが自分の特徴であり悪いところですかねw 

#peing #質問箱 https://t.co/fCEblTB9bG",1169898836262707201,2019-09-06 09:03:12,0,0,口が引くほど悪いです そこが自分の特徴であり悪いところですかねw     ,ham
6,MCO,自爆@ぽす推し(嘘),"自分は新幹線の方が使うような？ 

#peing #質問箱 https://t.co/G58CLjUgYw",1169898522197426176,2019-09-06 09:01:58,0,0,自分は新幹線の方が使うような？     ,ham
7,MCO,株式会社ミヨシ a.k.a. MCO【公式】,"@seki_koe_nodo ヒッ…！恐縮です！
結局駄洒落になってしまいました😭😭😭",1169898441402535936,2019-09-06 09:01:38,0,0,  ヒッ…！恐縮です！ 結局駄洒落になってしまいました😭😭😭,ham
8,MCO,まなたまちゃん🍏,@Miracl_MiLapule 餌に食いつく猿,1169898415821488135,2019-09-06 09:01:32,0,1,  餌に食いつく猿,ham
